season,team,date,opponent,home_away,result,team_score,opp_score,total_yards,passing_yards,rushing_yards,rush_attempts,completions,attempts,turnovers_int,turnovers_fum,turnovers,sacks_taken,penalty_yards,time_of_possession_sec
2024-25,Waterloo,Sep 28,Guelph,away,L,42,25,388,249,139,34,24,36,0,1,1,1,141,2134
2024-25,Waterloo,Oct 5,York,away,L,39,24,387,293,94,27,23,38,0,1,1,2,100,1898
2024-25,Waterloo,Oct 11,McMaster,home,L,34,32,367,141,226,36,11,15,0,0,0,1,40,1715
2024-25,Waterloo,Oct 19,Queen's,away,L,54,7,171,105,66,19,10,22,0,0,0,0,65,1630
2024-25,Western,Aug 25,Ottawa,away,W,38,11,432,173,259,36,12,25,3,2,5,0,25,1955
2024-25,Western,Sep 1,Waterloo,home,W,71,3,560,281,279,34,18,24,2,1,3,4,248,1510
2024-25,Western,Sep 7,Carleton,home,W,52,21,447,241,206,36,16,25,1,3,4,1,75,1699
2024-25,Western,Sep 14,Laurier,away,L,43,28,468,322,146,24,18,31,0,0,0,2,40,1571
2024-25,Western,Sep 28,Queen's,home,W,39,14,487,290,197,39,18,25,0,0,0,2,89,2231
2024-25,Western,Oct 5,McMaster,away,W,61,26,582,259,323,33,17,23,1,0,1,3,80,1610
2024-25,Western,Oct 11,Toronto,away,W,61,6,443,258,185,32,21,30,4,0,4,4,171,1730
2024-25,Western,Oct 19,Windsor,home,W,46,5,521,294,227,33,21,30,1,2,3,2,122,1756
2024-25,Windsor,Aug 24,Queen's,home,W,25,21,343,147,196,24,14,25,4,0,4,2,79,1759
2024-25,Windsor,Aug 31,Carleton,away,W,18,15,325,159,166,29,12,25,0,1,1,0,190,1765
2024-25,Windsor,Sep 14,York,away,W,29,0,477,236,241,31,29,36,1,2,3,6,85,1537
2024-25,Windsor,Sep 21,Ottawa,home,W,21,18,401,101,300,37,8,17,1,0,1,3,40,1855
2024-25,Windsor,Sep 28,Toronto,home,W,52,5,490,263,227,34,19,29,1,2,3,7,74,2218
2024-25,Windsor,Oct 5,Guelph,away,L,45,40,354,215,139,20,17,30,0,0,0,3,123,1403
2024-25,Windsor,Oct 11,Laurier,home,L,33,26,363,176,187,33,15,25,1,2,3,1,83,1877
2024-25,Windsor,Oct 19,Western,away,L,46,5,215,100,115,26,11,25,0,0,0,2,97,1844
2024-25,York,Aug 31,Ottawa,home,L,27,4,177,120,57,19,16,30,0,0,0,0,60,1668
2024-25,York,Sep 7,Queen's,away,L,52,19,407,303,104,20,17,37,0,0,0,0,25,1860
2024-25,York,Sep 14,Windsor,home,L,29,0,82,79,3,7,10,21,0,2,2,0,30,2015
2024-25,York,Sep 21,Toronto,away,W,19,17,272,103,169,23,11,25,1,0,1,0,178,1692
2024-25,York,Sep 28,Carleton,away,L,24,10,316,242,74,24,24,35,1,1,2,2,135,1665
2024-25,York,Oct 5,Waterloo,home,W,39,24,432,271,161,24,26,40,0,3,3,4,122,1473
2024-25,York,Oct 11,Guelph,home,L,33,19,477,294,183,24,18,33,0,1,1,4,39,1434
2024-25,York,Oct 19,McMaster,away,L,24,21,424,305,119,15,21,31,2,0,2,3,154,1086
2023-24,Carleton,Sep 3,Laurier,away,L,20,15,376,310,66,25,31,46,0,0,0,2,80,1979
2023-24,Carleton,Sep 9,Western,home,L,31,21,298,248,50,22,18,28,0,1,1,0,52,1638
2023-24,Carleton,Sep 16,York,away,W,52,0,576,313,263,27,24,37,0,0,0,0,65,1871
2023-24,Carleton,Sep 23,Toronto,home,W,46,7,405,339,66,23,28,46,1,3,4,8,91,1968
2023-24,Carleton,Oct 1,vs. 				Ottawa,home,L,18,16,394,171,223,34,19,27,2,2,4,2,62,1744
2023-24,Carleton,Oct 6,Queen's,away,L,35,16,321,282,39,13,22,33,1,1,2,2,39,1332
2023-24,Carleton,Oct 14,Waterloo,away,W,31,30,462,326,136,25,24,36,0,2,2,0,117,1879
2023-24,Carleton,Oct 21,Guelph,home,W,29,27,366,221,145,26,17,31,1,0,1,5,79,1359
2023-24,Guelph,Aug 26,Toronto,home,W,33,10,421,201,220,30,20,28,2,1,3,5,117,1464
2023-24,Guelph,Sep 3,Windsor,away,L,41,18,290,91,199,17,7,17,0,1,1,1,49,1215
2023-24,Guelph,Sep 9,Laurier,home,L,60,21,528,297,231,26,24,36,0,0,0,0,57,2079
2023-24,Guelph,Sep 16,McMaster,away,W,21,13,333,150,183,27,18,24,2,1,3,0,50,1649
2023-24,Guelph,Sep 23,York,home,W,88,7,748,476,272,20,23,28,2,1,3,2,55,1767
2023-24,Guelph,Sep 30,Waterloo,away,L,30,23,379,130,249,29,11,20,0,1,1,0,55,1527
2023-24,Guelph,Oct 14,Queen's,home,L,24,17,353,148,205,33,16,23,0,1,1,2,81,1763
2023-24,Guelph,Oct 21,Carleton,away,L,29,27,444,168,276,41,15,24,1,1,2,0,102,2241
2023-24,Laurier,Aug 26,Queen's,away,W,11,10,411,286,125,24,30,39,0,0,0,2,40,2171
2023-24,Laurier,Sep 3,Carleton,home,W,20,15,290,198,92,23,22,32,1,3,4,4,110,1621
2023-24,Laurier,Sep 9,Guelph,away,W,60,21,602,453,149,18,32,37,0,1,1,5,75,1514
2023-24,Laurier,Sep 16,Waterloo,home,W,47,20,447,318,129,20,20,28,1,2,3,3,80,1385
2023-24,Laurier,Sep 23,McMaster,home,W,36,9,630,466,164,26,33,42,2,1,3,3,46,2137
2023-24,Laurier,Oct 7,Ottawa,away,W,38,30,533,257,276,30,22,32,0,1,1,1,106,1799
2023-24,Laurier,Oct 14,Windsor,home,W,40,7,472,332,140,20,27,37,2,2,4,1,60,1729
2023-24,Laurier,Oct 21,Western,away,L,33,30,499,369,130,22,23,32,2,1,3,2,51,1518
2023-24,McMaster,Aug 26,Windsor,home,L,21,17,284,199,85,12,21,37,2,1,3,1,60,1556
2023-24,McMaster,Sep 3,Western,away,L,34,22,419,359,60,17,36,55,0,0,0,0,89,1971
2023-24,McMaster,Sep 9,York,home,W,71,0,577,527,50,20,36,42,3,0,3,0,47,2064
2023-24,McMaster,Sep 16,Guelph,home,L,21,13,370,257,113,29,27,35,0,0,0,2,37,1951
2023-24,McMaster,Sep 23,Laurier,away,L,36,9,194,165,29,10,14,35,1,1,2,3,30,1463
2023-24,McMaster,Sep 30,Toronto,away,L,33,19,361,265,96,19,22,42,0,2,2,4,154,2198
2023-24,McMaster,Oct 6,Waterloo,home,W,31,19,258,138,120,25,12,24,2,0,2,3,140,1612
2023-24,McMaster,Oct 14,Ottawa,away,L,23,9,292,201,91,16,19,38,1,2,3,4,49,1554
2023-24,Ottawa,Aug 27,Waterloo,home,W,29,10,303,166,137,28,16,29,4,2,6,3,48,1613
2023-24,Ottawa,Sep 3,Toronto,away,W,15,10,336,124,212,27,17,29,0,1,1,1,88,2112
2023-24,Ottawa,Sep 16,Windsor,home,L,42,31,334,219,115,22,9,21,1,0,1,2,64,1419
2023-24,Ottawa,Sep 23,Western,away,L,50,17,383,228,155,24,20,29,0,1,1,1,47,1674
2023-24,Ottawa,Oct 1,vs. 				Carleton,home,W,18,16,359,251,108,23,18,28,0,0,0,1,131,1851
2023-24,Ottawa,Oct 7,Laurier,home,L,38,30,361,233,128,24,20,27,1,0,1,0,80,1801
2023-24,Ottawa,Oct 14,McMaster,home,W,23,9,358,261,97,21,17,27,1,1,2,2,23,2044
2023-24,Ottawa,Oct 21,Queen's,away,L,12,8,329,241,88,24,21,38,1,0,1,1,49,1718
2023-24,Queen's,Aug 18,McGill,away,W,33,10,483,224,259,33,15,26,2,1,3,1,43,1961
2023-24,Queen's,Aug 26,Laurier,home,L,11,10,268,170,98,21,17,27,1,0,1,3,45,1429
2023-24,Queen's,Sep 9,Toronto,away,W,42,9,417,185,232,34,17,26,0,1,1,3,84,1895
2023-24,Queen's,Sep 16,Western,home,L,32,27,515,358,157,28,26,45,1,0,1,2,89,2032
2023-24,Queen's,Sep 23,Windsor,away,L,29,5,286,142,144,41,16,27,1,0,1,1,45,2318
2023-24,Queen's,Sep 30,York,away,W,87,0,678,216,462,32,14,18,4,0,4,0,55,1783
2023-24,Queen's,Oct 6,Carleton,home,W,35,16,442,75,367,51,7,9,0,0,0,2,15,2190
2023-24,Queen's,Oct 14,Guelph,away,W,24,17,334,89,245,42,8,16,2,3,5,5,98,1837
2023-24,Queen's,Oct 21,Ottawa,home,W,12,8,357,124,233,40,9,18,2,0,2,1,22,1882
2023-24,Toronto,Aug 26,Guelph,away,L,33,10,212,169,43,15,20,32,1,0,1,2,93,1453
2023-24,Toronto,Sep 3,Ottawa,home,L,15,10,278,160,118,26,12,22,1,0,1,2,63,1488
2023-24,Toronto,Sep 9,Queen's,home,L,42,9,226,109,117,25,8,22,1,0,1,0,96,1671
2023-24,Toronto,Sep 23,Carleton,away,L,46,7,64,40,24,17,7,20,1,2,3,1,104,1632
2023-24,Toronto,Sep 30,McMaster,home,W,33,19,290,108,182,26,6,11,4,2,6,1,64,1354
2023-24,Toronto,Oct 6,York,away,W,57,3,511,307,204,27,17,22,3,0,3,2,80,1648
2023-24,Toronto,Oct 14,Western,away,L,66,24,372,242,130,23,14,33,0,0,0,1,110,1834
2023-24,Toronto,Oct 21,Waterloo,home,L,26,21,349,207,142,23,21,32,1,0,1,0,95,2248
2023-24,Waterloo,Aug 27,Ottawa,away,L,29,10,361,216,145,25,21,38,1,2,3,2,60,1661
2023-24,Waterloo,Sep 3,York,home,W,53,32,606,204,402,40,8,11,0,1,1,4,158,1806
2023-24,Waterloo,Sep 9,Windsor,home,L,37,0,215,89,126,27,9,17,1,1,2,1,77,1567
2023-24,Waterloo,Sep 16,Laurier,away,L,47,20,443,304,139,30,26,40,0,1,1,2,60,2215
2023-24,Waterloo,Sep 30,Guelph,home,W,30,23,464,103,361,50,5,15,1,1,2,4,70,2073
2023-24,Waterloo,Oct 6,McMaster,away,L,31,19,268,183,85,27,19,31,0,0,0,4,101,1988
2023-24,Waterloo,Oct 14,Carleton,home,L,31,30,374,258,116,26,13,22,1,1,2,2,95,1670
2023-24,Waterloo,Oct 21,Toronto,away,W,26,21,414,269,145,28,17,31,1,1,2,1,72,1305
