game_id,season,week_label,away_team,home_team,away_score,home_score
2025_001,2025,,Toronto,McGill,10,37
2025_002,2025,,Ottawa,Montreal,10,37
2025_003,2025,,McMaster,York,24,31
2025_004,2025,,Western,Queen's,45,42
2025_005,2025,,Ottawa,Waterloo,27,12
2025_006,2025,,Toronto,Carleton,42,23
2025_007,2025,,Laurier,Guelph,33,28
2025_008,2025,,Queen's,McMaster,38,4
2025_009,2025,,York,Ottawa,17,33
2025_010,2025,,Windsor,Laurier,9,30
2025_011,2025,,Waterloo,Toronto,26,23
2025_012,2025,,Guelph,Western,33,53
2025_013,2025,,Laurier,Queen's,47,32
2025_014,2025,,Toronto,York,32,33
2025_015,2025,,Carleton,Waterloo,19,14
2025_016,2025,,Ottawa,Western,29,55
2025_017,2025,,Guelph,Windsor,31,17
2025_018,2025,,Waterloo,Laurier,19,41
2025_019,2025,,Ottawa,Guelph,30,23
2025_020,2025,,Western,Carleton,63,26
2025_021,2025,,Queen's,Toronto,44,6
2025_022,2025,,McMaster,Windsor,13,29
2025_023,2025,,Laurier,Ottawa,30,24
2025_024,2025,,Carleton,York,48,36
2025_025,2025,,Windsor,Toronto,34,14
2025_026,2025,,Guelph,McMaster,15,25
2025_027,2025,,Queen's,Waterloo,58,18
2025_028,2025,,Toronto,Laurier,21,59
2025_029,2025,,McMaster,Western,22,52
2025_030,2025,,York,Queen's,5,57
2025_031,2025,,Guelph,Carleton,55,28
2025_032,2025,,Waterloo,Windsor,0,35
2025_033,2025,,Queen's,Guelph,27,17
2025_034,2025,,York,Waterloo,33,34
2025_035,2025,,Western,Windsor,15,6
2025_036,2025,,McMaster,Toronto,35,16
2025_037,2025,,Ottawa,Carleton,14,20
2025_038,2025,,Waterloo,McMaster,14,47
2025_039,2025,,Carleton,Laurier,12,55
2025_040,2025,,Western,York,65,28
2025_041,2025,,Windsor,Ottawa,30,24
2025_042,2025,,York,Guelph,27,34
2025_043,2025,,Carleton,McMaster,39,41
2025_044,2025,,Laurier,Western,60,13
2025_045,2025,,Toronto,Ottawa,16,23
2025_046,2025,,Windsor,Queen's,31,28
2025_047,2025,,Guelph,Western,18,17
2025_048,2025,,Ottawa,Windsor,24,31
2025_049,2025,,Queen's,Windsor,36,25
2025_050,2025,,Guelph,Laurier,30,37
2025_051,2025,,Queen's,Laurier,30,27
