game_id,season,week_label,away_team,home_team,away_score,home_score
2022_001,2022,ScheduleAwayHomeNotesStatusLinksMcGill12Queen's19(Pre-Season)Final#Do not count in overall recordBox Score,McGill,Queen's,12,19
2022_002,2022,ScheduleAwayHomeNotesStatusLinksGuelph11Western34OUA #5Final*ConferenceBox ScoreWaterloo41York8OUA #3Final*ConferenceBox ScoreMcMaster18Carleton24OUA #4Final - Forfeit Away*ConferenceBox ScoreToronto25Queen's47OUA #1Final*ConferenceBox ScoreOttawa19Windsor16OUA #2Final*ConferenceBox Score,Guelph,Western,11,34
2022_003,2022,ScheduleAwayHomeNotesStatusLinksGuelph11Western34OUA #5Final*ConferenceBox ScoreWaterloo41York8OUA #3Final*ConferenceBox ScoreMcMaster18Carleton24OUA #4Final - Forfeit Away*ConferenceBox ScoreToronto25Queen's47OUA #1Final*ConferenceBox ScoreOttawa19Windsor16OUA #2Final*ConferenceBox Score,Waterloo,York,41,8
2022_004,2022,ScheduleAwayHomeNotesStatusLinksGuelph11Western34OUA #5Final*ConferenceBox ScoreWaterloo41York8OUA #3Final*ConferenceBox ScoreMcMaster18Carleton24OUA #4Final - Forfeit Away*ConferenceBox ScoreToronto25Queen's47OUA #1Final*ConferenceBox ScoreOttawa19Windsor16OUA #2Final*ConferenceBox Score,McMaster,Carleton,18,24
2022_005,2022,ScheduleAwayHomeNotesStatusLinksGuelph11Western34OUA #5Final*ConferenceBox ScoreWaterloo41York8OUA #3Final*ConferenceBox ScoreMcMaster18Carleton24OUA #4Final - Forfeit Away*ConferenceBox ScoreToronto25Queen's47OUA #1Final*ConferenceBox ScoreOttawa19Windsor16OUA #2Final*ConferenceBox Score,Toronto,Queen's,25,47
2022_006,2022,ScheduleAwayHomeNotesStatusLinksGuelph11Western34OUA #5Final*ConferenceBox ScoreWaterloo41York8OUA #3Final*ConferenceBox ScoreMcMaster18Carleton24OUA #4Final - Forfeit Away*ConferenceBox ScoreToronto25Queen's47OUA #1Final*ConferenceBox ScoreOttawa19Windsor16OUA #2Final*ConferenceBox Score,Ottawa,Windsor,19,16
2022_007,2022,ScheduleAwayHomeNotesStatusLinksYork1McMaster0OUA #6 - McMaster forfeits win due to the use of an ineligible playerFinal - Forfeit Home*ConferenceBox ScoreQueen's26Ottawa16OUA #7Final*ConferenceBox ScoreWestern34Laurier19OUA #9Final*ConferenceBox Score,York,McMaster,1,0
2022_008,2022,ScheduleAwayHomeNotesStatusLinksYork1McMaster0OUA #6 - McMaster forfeits win due to the use of an ineligible playerFinal - Forfeit Home*ConferenceBox ScoreQueen's26Ottawa16OUA #7Final*ConferenceBox ScoreWestern34Laurier19OUA #9Final*ConferenceBox Score,Queen's,Ottawa,26,16
2022_009,2022,ScheduleAwayHomeNotesStatusLinksYork1McMaster0OUA #6 - McMaster forfeits win due to the use of an ineligible playerFinal - Forfeit Home*ConferenceBox ScoreQueen's26Ottawa16OUA #7Final*ConferenceBox ScoreWestern34Laurier19OUA #9Final*ConferenceBox Score,Western,Laurier,34,19
2022_010,2022,ScheduleAwayHomeNotesStatusLinksCarleton13Toronto28OUA #10Final*ConferenceBox Score,Carleton,Toronto,13,28
2022_011,2022,ScheduleAwayHomeNotesStatusLinksWindsor28Guelph24OUA #8Final*ConferenceBox Score,Windsor,Guelph,28,24
2022_012,2022,ScheduleAwayHomeNotesStatusLinksGuelph41Waterloo35OUA #15Final*ConferenceBox ScoreOttawa20McMaster14OUA #13Final*ConferenceBox ScoreLaurier25Toronto20OUA #14Final*ConferenceBox ScoreYork14Carleton45Game ended early at 8:25 in the 4th due to extreme heatFinal*ConferenceBox ScoreQueen's11Western35OUA #11Final*ConferenceBox Score,Guelph,Waterloo,41,35
2022_013,2022,ScheduleAwayHomeNotesStatusLinksGuelph41Waterloo35OUA #15Final*ConferenceBox ScoreOttawa20McMaster14OUA #13Final*ConferenceBox ScoreLaurier25Toronto20OUA #14Final*ConferenceBox ScoreYork14Carleton45Game ended early at 8:25 in the 4th due to extreme heatFinal*ConferenceBox ScoreQueen's11Western35OUA #11Final*ConferenceBox Score,Ottawa,McMaster,20,14
2022_014,2022,ScheduleAwayHomeNotesStatusLinksGuelph41Waterloo35OUA #15Final*ConferenceBox ScoreOttawa20McMaster14OUA #13Final*ConferenceBox ScoreLaurier25Toronto20OUA #14Final*ConferenceBox ScoreYork14Carleton45Game ended early at 8:25 in the 4th due to extreme heatFinal*ConferenceBox ScoreQueen's11Western35OUA #11Final*ConferenceBox Score,Laurier,Toronto,25,20
2022_015,2022,ScheduleAwayHomeNotesStatusLinksGuelph41Waterloo35OUA #15Final*ConferenceBox ScoreOttawa20McMaster14OUA #13Final*ConferenceBox ScoreLaurier25Toronto20OUA #14Final*ConferenceBox ScoreYork14Carleton45Game ended early at 8:25 in the 4th due to extreme heatFinal*ConferenceBox ScoreQueen's11Western35OUA #11Final*ConferenceBox Score,York,Carleton,14,45
2022_016,2022,ScheduleAwayHomeNotesStatusLinksGuelph41Waterloo35OUA #15Final*ConferenceBox ScoreOttawa20McMaster14OUA #13Final*ConferenceBox ScoreLaurier25Toronto20OUA #14Final*ConferenceBox ScoreYork14Carleton45Game ended early at 8:25 in the 4th due to extreme heatFinal*ConferenceBox ScoreQueen's11Western35OUA #11Final*ConferenceBox Score,Queen's,Western,11,35
2022_017,2022,ScheduleAwayHomeNotesStatusLinksGuelph10Ottawa46OUA #18Final*ConferenceBox ScoreLaurier32York1OUA #19Final*ConferenceBox ScoreMcMaster43Waterloo0OUA #16Final*ConferenceBox ScoreCarleton17Queen's49OUA #17Final*ConferenceBox ScoreToronto7Windsor37OUA #20Final*ConferenceBox Score,Guelph,Ottawa,10,46
2022_018,2022,ScheduleAwayHomeNotesStatusLinksGuelph10Ottawa46OUA #18Final*ConferenceBox ScoreLaurier32York1OUA #19Final*ConferenceBox ScoreMcMaster43Waterloo0OUA #16Final*ConferenceBox ScoreCarleton17Queen's49OUA #17Final*ConferenceBox ScoreToronto7Windsor37OUA #20Final*ConferenceBox Score,Laurier,York,32,1
2022_019,2022,ScheduleAwayHomeNotesStatusLinksGuelph10Ottawa46OUA #18Final*ConferenceBox ScoreLaurier32York1OUA #19Final*ConferenceBox ScoreMcMaster43Waterloo0OUA #16Final*ConferenceBox ScoreCarleton17Queen's49OUA #17Final*ConferenceBox ScoreToronto7Windsor37OUA #20Final*ConferenceBox Score,McMaster,Waterloo,43,0
2022_020,2022,ScheduleAwayHomeNotesStatusLinksGuelph10Ottawa46OUA #18Final*ConferenceBox ScoreLaurier32York1OUA #19Final*ConferenceBox ScoreMcMaster43Waterloo0OUA #16Final*ConferenceBox ScoreCarleton17Queen's49OUA #17Final*ConferenceBox ScoreToronto7Windsor37OUA #20Final*ConferenceBox Score,Carleton,Queen's,17,49
2022_021,2022,ScheduleAwayHomeNotesStatusLinksGuelph10Ottawa46OUA #18Final*ConferenceBox ScoreLaurier32York1OUA #19Final*ConferenceBox ScoreMcMaster43Waterloo0OUA #16Final*ConferenceBox ScoreCarleton17Queen's49OUA #17Final*ConferenceBox ScoreToronto7Windsor37OUA #20Final*ConferenceBox Score,Toronto,Windsor,7,37
2022_022,2022,ScheduleAwayHomeNotesStatusLinksQueen's62Guelph11OUA #22Final*ConferenceBox ScoreOttawa21Laurier18OUA #21Final*ConferenceBox ScoreYork7Toronto39OUA #23Final*ConferenceBox ScoreWaterloo3Western66OUA #24Final*ConferenceBox ScoreWindsor7Carleton24OUA #25Final*ConferenceBox Score,Queen's,Guelph,62,11
2022_023,2022,ScheduleAwayHomeNotesStatusLinksQueen's62Guelph11OUA #22Final*ConferenceBox ScoreOttawa21Laurier18OUA #21Final*ConferenceBox ScoreYork7Toronto39OUA #23Final*ConferenceBox ScoreWaterloo3Western66OUA #24Final*ConferenceBox ScoreWindsor7Carleton24OUA #25Final*ConferenceBox Score,Ottawa,Laurier,21,18
2022_024,2022,ScheduleAwayHomeNotesStatusLinksQueen's62Guelph11OUA #22Final*ConferenceBox ScoreOttawa21Laurier18OUA #21Final*ConferenceBox ScoreYork7Toronto39OUA #23Final*ConferenceBox ScoreWaterloo3Western66OUA #24Final*ConferenceBox ScoreWindsor7Carleton24OUA #25Final*ConferenceBox Score,York,Toronto,7,39
2022_025,2022,ScheduleAwayHomeNotesStatusLinksQueen's62Guelph11OUA #22Final*ConferenceBox ScoreOttawa21Laurier18OUA #21Final*ConferenceBox ScoreYork7Toronto39OUA #23Final*ConferenceBox ScoreWaterloo3Western66OUA #24Final*ConferenceBox ScoreWindsor7Carleton24OUA #25Final*ConferenceBox Score,Waterloo,Western,3,66
2022_026,2022,ScheduleAwayHomeNotesStatusLinksQueen's62Guelph11OUA #22Final*ConferenceBox ScoreOttawa21Laurier18OUA #21Final*ConferenceBox ScoreYork7Toronto39OUA #23Final*ConferenceBox ScoreWaterloo3Western66OUA #24Final*ConferenceBox ScoreWindsor7Carleton24OUA #25Final*ConferenceBox Score,Windsor,Carleton,7,24
2022_027,2022,"ScheduleAwayHomeNotesStatusLinksCarleton7Ottawa37OUA #26 - Panda Game  @ Ottawa, Ont. (TD Place)Final*ConferenceBox ScoreWestern47McMaster14OUA #30Final*ConferenceBox ScoreToronto32Waterloo24OUA #27Final*ConferenceBox ScoreYork2Queen's61OUA #28Final*ConferenceBox ScoreLaurier49Windsor11OUA #29Final*ConferenceBox Score",Carleton,Ottawa,7,37
2022_028,2022,"ScheduleAwayHomeNotesStatusLinksCarleton7Ottawa37OUA #26 - Panda Game  @ Ottawa, Ont. (TD Place)Final*ConferenceBox ScoreWestern47McMaster14OUA #30Final*ConferenceBox ScoreToronto32Waterloo24OUA #27Final*ConferenceBox ScoreYork2Queen's61OUA #28Final*ConferenceBox ScoreLaurier49Windsor11OUA #29Final*ConferenceBox Score",Western,McMaster,47,14
2022_029,2022,"ScheduleAwayHomeNotesStatusLinksCarleton7Ottawa37OUA #26 - Panda Game  @ Ottawa, Ont. (TD Place)Final*ConferenceBox ScoreWestern47McMaster14OUA #30Final*ConferenceBox ScoreToronto32Waterloo24OUA #27Final*ConferenceBox ScoreYork2Queen's61OUA #28Final*ConferenceBox ScoreLaurier49Windsor11OUA #29Final*ConferenceBox Score",Toronto,Waterloo,32,24
2022_030,2022,"ScheduleAwayHomeNotesStatusLinksCarleton7Ottawa37OUA #26 - Panda Game  @ Ottawa, Ont. (TD Place)Final*ConferenceBox ScoreWestern47McMaster14OUA #30Final*ConferenceBox ScoreToronto32Waterloo24OUA #27Final*ConferenceBox ScoreYork2Queen's61OUA #28Final*ConferenceBox ScoreLaurier49Windsor11OUA #29Final*ConferenceBox Score",York,Queen's,2,61
2022_031,2022,"ScheduleAwayHomeNotesStatusLinksCarleton7Ottawa37OUA #26 - Panda Game  @ Ottawa, Ont. (TD Place)Final*ConferenceBox ScoreWestern47McMaster14OUA #30Final*ConferenceBox ScoreToronto32Waterloo24OUA #27Final*ConferenceBox ScoreYork2Queen's61OUA #28Final*ConferenceBox ScoreLaurier49Windsor11OUA #29Final*ConferenceBox Score",Laurier,Windsor,49,11
2022_032,2022,ScheduleAwayHomeNotesStatusLinksLaurier43Waterloo22OUA #31Final*ConferenceBox Score,Laurier,Waterloo,43,22
2022_033,2022,ScheduleAwayHomeNotesStatusLinksMcMaster41Guelph12OUA #34Final*ConferenceBox ScoreWestern56Toronto21OUA #32Final*ConferenceBox ScoreWindsor33York10OUA #33Final*ConferenceBox Score,McMaster,Guelph,41,12
2022_034,2022,ScheduleAwayHomeNotesStatusLinksMcMaster41Guelph12OUA #34Final*ConferenceBox ScoreWestern56Toronto21OUA #32Final*ConferenceBox ScoreWindsor33York10OUA #33Final*ConferenceBox Score,Western,Toronto,56,21
2022_035,2022,ScheduleAwayHomeNotesStatusLinksMcMaster41Guelph12OUA #34Final*ConferenceBox ScoreWestern56Toronto21OUA #32Final*ConferenceBox ScoreWindsor33York10OUA #33Final*ConferenceBox Score,Windsor,York,33,10
2022_036,2022,ScheduleAwayHomeNotesStatusLinksOttawa66York0OUA #36Final*ConferenceBox ScoreWindsor18Western50OUA #35Final*ConferenceBox ScoreGuelph25Laurier38OUA #39Final*ConferenceBox ScoreWaterloo18Carleton36OUA #38Final*ConferenceBox ScoreMcMaster10Queen's14OUA #37Final*ConferenceBox Score,Ottawa,York,66,0
2022_037,2022,ScheduleAwayHomeNotesStatusLinksOttawa66York0OUA #36Final*ConferenceBox ScoreWindsor18Western50OUA #35Final*ConferenceBox ScoreGuelph25Laurier38OUA #39Final*ConferenceBox ScoreWaterloo18Carleton36OUA #38Final*ConferenceBox ScoreMcMaster10Queen's14OUA #37Final*ConferenceBox Score,Windsor,Western,18,50
2022_038,2022,ScheduleAwayHomeNotesStatusLinksOttawa66York0OUA #36Final*ConferenceBox ScoreWindsor18Western50OUA #35Final*ConferenceBox ScoreGuelph25Laurier38OUA #39Final*ConferenceBox ScoreWaterloo18Carleton36OUA #38Final*ConferenceBox ScoreMcMaster10Queen's14OUA #37Final*ConferenceBox Score,Guelph,Laurier,25,38
2022_039,2022,ScheduleAwayHomeNotesStatusLinksOttawa66York0OUA #36Final*ConferenceBox ScoreWindsor18Western50OUA #35Final*ConferenceBox ScoreGuelph25Laurier38OUA #39Final*ConferenceBox ScoreWaterloo18Carleton36OUA #38Final*ConferenceBox ScoreMcMaster10Queen's14OUA #37Final*ConferenceBox Score,Waterloo,Carleton,18,36
2022_040,2022,ScheduleAwayHomeNotesStatusLinksOttawa66York0OUA #36Final*ConferenceBox ScoreWindsor18Western50OUA #35Final*ConferenceBox ScoreGuelph25Laurier38OUA #39Final*ConferenceBox ScoreWaterloo18Carleton36OUA #38Final*ConferenceBox ScoreMcMaster10Queen's14OUA #37Final*ConferenceBox Score,McMaster,Queen's,10,14
